,Time,Comparisons,Exchanges
Quick,13750,6681,886
Quick,14292,6920,904
Quick,14541,7480,908
Quick,14125,7526,890
Quick,13625,6814,926
Quick,14625,6928,906
Quick,13291,6900,906
Quick,13458,7157,894
Quick,14250,7399,916
Quick,13667,6890,902
Quick,13625,7162,912
Quick,13750,7473,878
Quick,13459,6622,886
Quick,14250,7459,888
Quick,13916,7297,904
Quick,13584,7362,888
Quick,14375,6974,896
Quick,15167,7079,890
Quick,14000,7236,904
Quick,48583,6555,898
Quick,15625,6496,892
Quick,13958,6865,926
Quick,13500,6982,902
Quick,13209,6957,902
Quick,13583,7030,890
Quick,14833,7118,872
Quick,13500,6887,908
Quick,14125,7177,920
Quick,13542,6803,878
Quick,13792,7537,884
Quick,13375,6765,898
Quick,13542,6765,910
Quick,14125,7188,914
Quick,13417,6704,910
Quick,13708,7163,918
Quick,14375,7837,908
Quick,13917,7032,896
Quick,14500,7866,878
Quick,13583,6395,922
Quick,13625,7431,872
Quick,13958,7162,882
Quick,13375,6693,936
Quick,19375,6634,918
Quick,13583,7076,890
Quick,30084,7265,876
Quick,13291,6971,914
Quick,13833,7126,910
Quick,13375,6554,944
Quick,13875,6761,884
Quick,12959,7077,864
Quick,13875,7552,856
Quick,13583,6863,904
Quick,21667,6518,932
Quick,13583,7021,918
Quick,13709,6850,928
Quick,13375,6625,894
Quick,13500,6918,910
Quick,13750,6810,930
Quick,13667,6873,928
Quick,40292,6771,900
Quick,35208,7233,878
Quick,43583,6753,904
Quick,14667,6873,914
Quick,14833,7281,906
Quick,16000,6619,902
Quick,15291,7161,916
Quick,14041,7555,876
Quick,14375,7841,856
Quick,13958,6814,914
Quick,13583,6822,886
Quick,13334,7073,900
Quick,14083,6746,900
Quick,14000,6819,868
Quick,14041,7156,916
Quick,14041,7142,880
Quick,14042,7083,882
Quick,13750,7105,908
Quick,13792,7135,920
Quick,33542,6739,882
Quick,14041,6807,882
Quick,13333,6633,910
Quick,13542,7184,882
Quick,13167,6850,910
Quick,13875,6769,892
Quick,13792,6811,930
Quick,14041,7092,874
Quick,13417,6856,894
,,,
,,,
Merge,115667,9788,0
Merge,75750,9787,0
Merge,64750,9797,0
Merge,62625,9774,0
Merge,71125,9784,0
Merge,61875,9787,0
Merge,59333,9798,0
Merge,170625,9778,0
Merge,191583,9774,0
Merge,68583,9787,0
Merge,58542,9792,0
Merge,57792,9798,0
Merge,57625,9778,0
Merge,62541,9800,0
Merge,59333,9789,0
Merge,150833,9788,0
Merge,58417,9784,0
Merge,75042,9772,0
Merge,66667,9788,0
Merge,406625,9781,0
Merge,175875,9785,0
Merge,144708,9789,0
Merge,195584,9794,0
Merge,73292,9780,0
Merge,61292,9786,0
Merge,61292,9791,0
Merge,60625,9780,0
Merge,61292,9784,0
Merge,60375,9781,0
Merge,59208,9779,0
Merge,59041,9799,0
Merge,58333,9789,0
Merge,66500,9783,0
Merge,60958,9776,0
Merge,61875,9786,0
Merge,145333,9787,0
Merge,74792,9786,0
Merge,63042,9788,0
Merge,61125,9784,0
Merge,59500,9782,0
Merge,61625,9799,0
Merge,68625,9783,0
Merge,62250,9774,0
Merge,62334,9780,0
Merge,60250,9797,0
Merge,67875,9791,0
Merge,58500,9780,0
Merge,123750,9792,0
Merge,198834,9784,0
Merge,82416,9776,0
Merge,67000,9787,0
Merge,61750,9767,0
Merge,60834,9784,0
Merge,161250,9783,0
Merge,76542,9782,0
Merge,68042,9781,0
Merge,61042,9775,0
Merge,61250,9794,0
Merge,61250,9788,0
Merge,59875,9786,0
Merge,61125,9782,0
Merge,59625,9775,0
Merge,144625,9773,0
Merge,132375,9793,0
Merge,65209,9795,0
Merge,59667,9788,0
Merge,79125,9786,0
Merge,58875,9781,0
Merge,66042,9788,0
Merge,62875,9789,0
Merge,61458,9777,0
Merge,60583,9784,0
